time,iter,used,max_ci,vp_mean,vm_mean,T_global,extra_global
1759432960.422,50,4194,68.21000252488226,572.4754117359407,629.877819042042,inf,inf
1759432962.466,100,4294,29.939494540378153,526.9034001325988,684.9058932721315,59266666.666666664,59262373
1759432964.484,150,4394,21.75797079070778,513.175458081645,715.6125247062664,55926559.91493887,55922166
1759432966.547,200,4494,19.290927509069157,524.0918049270068,679.573057786265,54992814.83733658,54988321
1759432968.611,250,4594,15.976069688481017,515.7491594215445,696.24148617741,51941519.81351981,51936926
1759432970.641,300,4694,14.648156344441022,554.4365928387971,673.6424329774425,52188090.631808266,52183397
1759432972.679,350,4794,13.36864840413034,556.4494008014158,652.097511125881,51521778.185655944,51516985
1759432974.738,400,4894,11.68878254426426,569.9082047909849,614.5270013327513,49330415.78576463,49325522
1759432976.788,450,4994,10.499063863661352,561.598673788975,603.813690758552,48951397.82388441,48946404
1759432978.822,500,5094,9.932699834658251,568.757764773441,583.9230304373957,47492852.550663866,47487759
1759432980.877,550,5194,9.63439540222178,564.3392778096102,585.7679208623854,47152215.70544153,47147022
1759432982.910,600,5294,9.283248433644195,570.5341801324258,597.8836346242012,47234033.15865719,47228740
1759432984.942,650,5394,9.126830686068033,575.702489133642,612.2883686889802,47917991.3245251,47912598
1759432986.983,700,5494,8.616973667417676,574.8880210327898,608.7741571324893,47366759.4597662,47361266
1759432989.015,750,5594,8.137694640064247,583.3987895088625,616.2256453262553,47931564.700750545,47925971
1759432991.050,800,5694,7.812511922578243,589.605504511836,618.0810361948907,48261163.14915632,48255470
1759432993.074,850,5794,7.5188353278855615,582.520476163067,607.606797025277,47362162.85340606,47356369
1759432995.091,900,5894,7.283537768215487,582.7875981317442,604.1196794805364,46938289.32344324,46932396
1759432997.120,950,5994,7.062831497661484,580.0031140496876,589.761266782321,46261574.569620304,46255581
1759432999.186,1000,6094,6.784177144714375,572.3316996717524,599.0203984808434,46364926.7166505,46358833
1759433001.241,1050,6194,6.601970178876647,565.6117644409114,601.7143841554657,46106215.48186735,46100022
1759433003.230,1100,6294,6.3815070840829575,563.3161409917345,601.6372048213082,45718160.321430445,45711867
