time,iter,used,max_ci,vp_mean,vm_mean,T_global,extra_global
1759827204.595,50000,108189,0.7345561558001302,368.66818750826906,366.1340838118026,27662893.227698356,27554705
1759837062.473,100000,208189,0.5118577623187963,363.99814678594475,361.2343722268433,27089320.251130532,26881132
1759846937.719,150000,308188,0.4162371637589128,364.1756142190366,362.9775686147752,26932436.865315203,26624249
1759856775.210,200000,408187,0.35989578894507557,364.2757007130191,365.5898707414791,26921536.62616092,26513350
1759866630.063,250000,508185,0.3211783063566734,364.185462325813,366.7519736292501,26844633.983039137,26336449
1759876482.308,300000,608184,0.2928815797845365,364.30552382441635,366.53054950298645,26883071.50562123,26274888
1759886331.493,350000,708184,0.2708501267777764,364.649633550105,363.93013173397327,26804521.289538845,26096338
1759896180.019,400000,808184,0.25342581635609607,364.82483344885316,362.4944851595879,26845567.53629703,26037384
1759906046.896,450000,908184,0.23979737793047323,364.5453198999637,366.18294822295195,27024238.705977023,26116055
1759915907.437,500000,1008181,0.2277276679319775,363.89091296499805,366.6226112801901,27065985.5099191,26057805
1759925767.755,550000,1108179,0.21702701173594477,363.6932683203662,365.2414549232363,27032409.554478154,25924231
1759935627.394,600000,1208177,0.20734789535702147,363.612829932497,364.0802907719424,26941315.67812635,25733139
1759945466.486,650000,1308173,0.19935267276262172,363.77882474871126,364.6170949588134,26962511.73682687,25654339
