seed,layer,task,neuron_idx,shapley_value
95,first,cls,0,0.06152800000000022
95,first,cls,1,0.043899999999999995
95,first,cls,2,0.1941820000000001
95,first,cls,3,0.1834220000000004
95,first,cls,4,0.640496
95,first,cls,5,0.5517280000000019
95,first,cls,6,0.001971999999999938
95,first,cls,7,0.14731999999999978
95,first,cls,8,0.046337999999999976
95,first,cls,9,0.1760439999999994
95,first,cls,10,0.46636200000000033
95,first,cls,11,-0.36146600000000034
95,first,cls,12,0.40196399999999993
95,first,cls,13,0.2746219999999997
95,first,cls,14,0.23801800000000017
95,first,cls,15,0.19859199999999966
95,first,cls,16,0.43570000000000053
95,first,cls,17,0.8399359999999987
95,first,cls,18,0.6268220000000005
95,first,cls,19,-0.05948399999999995
95,first,cls,20,-0.05370000000000015
95,first,cls,21,0.07703999999999983
95,first,cls,22,0.05124199999999999
95,first,cls,23,0.23175200000000026
95,first,cls,24,0.10883400000000008
95,first,cls,25,-0.09024399999999999
95,first,cls,26,0.02393599999999995
95,first,cls,27,0.18097599999999994
95,first,cls,28,0.08885999999999991
95,first,cls,29,0.19364000000000012
95,first,cls,30,-0.048811999999999946
95,first,cls,31,-0.10387799999999998
95,first,cls,32,0.40736000000000055
95,first,cls,33,0.19171799999999994
95,first,cls,34,0.42826999999999993
95,first,cls,35,-0.16537799999999986
95,first,cls,36,0.09364199999999978
95,first,cls,37,1.3136320000000008
95,first,cls,38,-0.7195080000000016
95,first,cls,39,0.08872800000000003
95,first,cls,40,0.043445999999999964
95,first,cls,41,0.4019739999999999
95,first,cls,42,-0.3790040000000002
95,first,cls,43,0.06052399999999993
95,first,cls,44,0.09223199999999988
95,first,cls,45,0.20055200000000004
95,first,cls,46,-0.020045999999999984
95,first,cls,47,0.6760940000000001
95,first,cls,48,-0.032218000000000004
95,first,cls,49,0.6239660000000009
95,first,cls,50,-0.12929599999999972
95,first,cls,51,0.023915999999999958
95,first,cls,52,-0.27413600000000005
95,first,cls,53,-0.013189999999999978
95,first,cls,54,-0.02435199999999997
95,first,cls,55,0.21856600000000018
95,first,cls,56,0.4375720000000003
95,first,cls,57,0.631230000000001
95,first,cls,58,0.24821200000000043
95,first,cls,59,0.7093040000000009
95,first,cls,60,0.18393800000000007
95,first,cls,61,-0.16533599999999993
95,first,cls,62,0.6971199999999996
95,first,cls,63,0.3575600000000006
95,first,cls,64,-0.07461799999999998
95,first,cls,65,-0.0858679999999999
95,first,cls,66,0.07604200000000007
95,first,cls,67,0.14487799999999967
95,first,cls,68,-0.099974
95,first,cls,69,0.8848759999999996
95,first,cls,70,0.37268199999999935
95,first,cls,71,0.020983999999999916
95,first,cls,72,-0.101918
95,first,cls,73,0.08200799999999998
95,first,cls,74,0.7926580000000009
95,first,cls,75,-0.034118
95,first,cls,76,0.2721540000000003
95,first,cls,77,0.43074400000000035
95,first,cls,78,0.47118200000000104
95,first,cls,79,0.18394400000000008
95,first,cls,80,0.31407199999999935
95,first,cls,81,0.544378
95,first,cls,82,0.007312000000000013
95,first,cls,83,-0.16192200000000007
95,first,cls,84,0.15662000000000023
95,first,cls,85,-0.027264000000000004
95,first,cls,86,0.20489999999999986
95,first,cls,87,0.250202
95,first,cls,88,0.05265199999999992
95,first,cls,89,0.15070200000000009
95,first,cls,90,-0.13170800000000016
95,first,cls,91,0.15171599999999985
95,first,cls,92,0.16730000000000037
95,first,cls,93,-0.07421599999999998
95,first,cls,94,0.011771999999999892
95,first,cls,95,0.025882000000000033
95,first,cls,96,0.30730600000000075
95,first,cls,97,0.04240999999999988
95,first,cls,98,0.08825999999999991
95,first,cls,99,0.06587599999999998
95,first,cls,100,-0.041449999999999994
95,first,cls,101,0.135658
95,first,cls,102,-0.09993000000000005
95,first,cls,103,0.002884000000000034
95,first,cls,104,0.11074000000000013
95,first,cls,105,0.38337200000000005
95,first,cls,106,0.04345599999999995
95,first,cls,107,0.1019539999999999
95,first,cls,108,0.087772
95,first,cls,109,-0.01801600000000001
95,first,cls,110,0.17950800000000003
95,first,cls,111,0.8010440000000022
95,first,cls,112,-0.05559399999999997
95,first,cls,113,-0.09369199999999989
95,first,cls,114,0.6858440000000002
95,first,cls,115,-0.09603799999999998
95,first,cls,116,-0.15015799999999993
95,first,cls,117,-0.07952999999999998
95,first,cls,118,0.021016000000000038
95,first,cls,119,0.27700199999999997
95,first,cls,120,0.10196200000000023
95,first,cls,121,0.10337600000000001
95,first,cls,122,-0.09901199999999974
95,first,cls,123,0.08730399999999983
95,first,cls,124,0.11805400000000006
95,first,cls,125,0.010202000000000091
95,first,cls,126,0.5039660000000008
95,first,cls,127,0.07514599999999995
95,features.0,cls,0,-0.11290440251572331
95,features.0,cls,1,0.02685471698113215
95,features.0,cls,2,0.02268553459119498
95,features.0,cls,3,0.012148427672955946
95,features.0,cls,4,0.06306918238993707
95,features.0,cls,5,5.167957861635241
95,features.0,cls,6,0.8832113207547151
95,features.0,cls,7,1.23926289308176
95,features.0,cls,8,0.20603207547169902
95,features.0,cls,9,0.03663836477987411
95,features.0,cls,10,-0.4795968553459116
95,features.0,cls,11,-0.029610062893081913
95,features.0,cls,12,0.5459100628930824
95,features.0,cls,13,0.13870566037735857
95,features.0,cls,14,-0.04250566037735838
95,features.0,cls,15,0.6781075471698118
95,features.0,cls,16,-0.16719433962264102
95,features.0,cls,17,1.8476157232704298
95,features.0,cls,18,-0.01090503144654089
95,features.0,cls,19,0.031189937106918187
95,features.0,cls,20,8.6204327044027
95,features.0,cls,21,0.007218867924528245
95,features.0,cls,22,2.2544226415094166
95,features.0,cls,23,3.9972207547169343
95,features.0,cls,24,2.1725842767295362
95,features.0,cls,25,0.05824842767295582
95,features.0,cls,26,-0.027163522012578645
95,features.0,cls,27,0.013357861635220151
95,features.0,cls,28,0.03666603773584901
95,features.0,cls,29,-0.012116981132075497
95,features.0,cls,30,0.5933459119496864
95,features.0,cls,31,0.058904402515723486
95,features.4,cls,0,0.18627032967032967
95,features.4,cls,1,0.5433065934065949
95,features.4,cls,2,0.2698857142857147
95,features.4,cls,3,0.5950076923076935
95,features.4,cls,4,0.546212087912089
95,features.4,cls,5,0.11229670329670335
95,features.4,cls,6,0.4401098901098915
95,features.4,cls,7,0.5373527472527482
